food_name,calories_per_100g,protein,carbs,fat,fiber,category,meal_type
Apple,52,0.3,14,0.2,2.4,Fruit,breakfast
Banana,89,1.1,23,0.3,2.6,Fruit,breakfast
Orange,47,0.9,12,0.1,2.4,Fruit,breakfast
Strawberries,32,0.7,8,0.3,2.0,Fruit,breakfast
Blueberries,57,0.7,14,0.3,2.4,Fruit,breakfast
Grapes,62,0.6,16,0.2,0.9,Fruit,any
Mango,60,0.8,15,0.4,1.6,Fruit,any
Pineapple,50,0.5,13,0.1,1.4,Fruit,any
Broccoli,34,2.8,7,0.4,2.6,Vegetable,lunch
Spinach,23,2.9,3.6,0.4,2.2,Vegetable,lunch
Carrots,41,0.9,10,0.2,2.8,Vegetable,lunch
Bell Peppers,31,1.9,7,0.3,3.4,Vegetable,lunch
Tomatoes,18,0.9,3.9,0.2,1.2,Vegetable,lunch
Cucumber,12,0.7,2.2,0.1,0.5,Vegetable,any
Lettuce,15,1.4,2.9,0.2,1.3,Vegetable,any
Kale,35,2.9,4.4,1.5,4.1,Vegetable,lunch
Chicken Breast,165,31.0,0,3.6,0,Protein,lunch
Salmon,208,25.4,0,13.4,0,Protein,dinner
Tuna,144,30.0,0,4.9,0,Protein,lunch
Eggs,155,13.0,1.1,11.0,0,Protein,breakfast
Turkey,189,29.0,0,7.4,0,Protein,dinner
Lean Beef,250,26.0,0,15.0,0,Protein,dinner
Tofu,70,8.1,1.9,4.2,1.9,Protein,lunch
Tempeh,190,19.0,9.0,11.0,5.4,Protein,dinner
Brown Rice,111,2.7,23,0.9,1.8,Grain,lunch
Quinoa,368,14.1,64,6.1,7.0,Grain,any
Oats,389,16.9,66,6.9,10.6,Grain,breakfast
Whole Wheat Bread,265,13.0,49,4.2,6.8,Grain,breakfast
Barley,123,2.3,28,1.2,6.0,Grain,lunch
Bulgur,342,12.5,76,2.3,18.3,Grain,any
Millet,378,11.0,73,4.2,8.5,Grain,breakfast
Greek Yogurt,100,10.0,3.6,0.4,0,Dairy,breakfast
Cottage Cheese,98,11.1,3.4,4.3,0,Dairy,breakfast
